ID,name,email,phone,city,country_code,creditLimit,createdAt,createdBy,modifiedAt,modifiedBy
22094611-6d52-4ae0-855f-e36a32cc7140,name-22094611,email-22094611,phone-22094611,city-22094611,039,6695663259.27,2000-05-09T00:00:00.000Z,createdBy.d5kb7@example.net,2005-12-01T00:00:00.000Z,modifiedBy.d5kb7@example.com
15558559-1a4a-48d9-948d-6f37c2f42422,name-15558559,email-15558559,phone-15558559,city-15558559,039,8842935384.1,2023-09-28T00:00:00.000Z,createdBy.99h27@example.com,2003-09-23T00:00:00.000Z,modifiedBy.99h27@example.com
15558560-7ce0-4d42-80c0-f17f54753047,name-15558560,email-15558560,phone-15558560,city-15558560,039,8933140841.09,2001-12-26T00:00:00.000Z,createdBy.99h28@example.org,2012-12-17T00:00:00.000Z,modifiedBy.99h28@example.com
15558561-2fe1-48e7-9a25-89c8ca9cb875,name-15558561,email-15558561,phone-15558561,city-15558561,039,6073800654.17,2006-08-11T00:00:00.000Z,createdBy.99h29@example.org,2002-01-18T00:00:00.000Z,modifiedBy.99h29@example.com
15558562-dac8-4dce-9d07-b4cdfdba7231,name-15558562,email-15558562,phone-15558562,city-15558562,039,9159927947.06,2009-12-08T00:00:00.000Z,createdBy.99h2a@example.net,2020-08-23T00:00:00.000Z,modifiedBy.99h2a@example.com
15558563-6dcf-41ff-bad4-b7ccaf934edf,name-15558563,email-15558563,phone-15558563,city-15558563,039,6587456867.11,2009-10-18T00:00:00.000Z,createdBy.99h2b@example.com,2009-12-18T00:00:00.000Z,modifiedBy.99h2b@example.net
15558564-c724-4210-bea7-5f7e032df40c,name-15558564,email-15558564,phone-15558564,city-15558564,039,5519468225.19,2009-08-20T00:00:00.000Z,createdBy.99h2c@example.com,2023-01-31T00:00:00.000Z,modifiedBy.99h2c@example.org
15558565-525a-4848-a2bc-959d343c4cf8,name-15558565,email-15558565,phone-15558565,city-15558565,039,6736814682.69,2014-02-02T00:00:00.000Z,createdBy.99h2d@example.com,2008-04-03T00:00:00.000Z,modifiedBy.99h2d@example.net
15558566-ef6b-4540-b036-2b3a961a0a87,name-15558566,email-15558566,phone-15558566,city-15558566,039,1814626027.48,2006-07-08T00:00:00.000Z,createdBy.99h2e@example.net,2022-07-25T00:00:00.000Z,modifiedBy.99h2e@example.org
15558567-ca28-4f45-81fa-8ce90c3a2583,name-15558567,email-15558567,phone-15558567,city-15558567,039,821574510.23,2007-09-06T00:00:00.000Z,createdBy.99h2f@example.org,2005-01-11T00:00:00.000Z,modifiedBy.99h2f@example.com
15558568-0cca-482b-9f71-0d0d842c919b,name-15558568,email-15558568,phone-15558568,city-15558568,039,9800975730.55,2002-04-04T00:00:00.000Z,createdBy.99h2g@example.net,2015-02-24T00:00:00.000Z,modifiedBy.99h2g@example.com
15558569-4d30-4ec6-a64c-92bcc2a947ba,name-15558569,email-15558569,phone-15558569,city-15558569,039,3231659212.29,2016-02-29T00:00:00.000Z,createdBy.99h2h@example.com,2001-08-01T00:00:00.000Z,modifiedBy.99h2h@example.org
15558570-4861-4057-a915-f47f4729f2a7,name-15558570,email-15558570,phone-15558570,city-15558570,039,9553138177.29,2017-02-06T00:00:00.000Z,createdBy.99h2i@example.org,2017-02-20T00:00:00.000Z,modifiedBy.99h2i@example.com
15558571-d0aa-4fa7-a56c-2d57585ec2dc,name-15558571,email-15558571,phone-15558571,city-15558571,039,6097986528.79,2006-02-20T00:00:00.000Z,createdBy.99h2j@example.net,2002-02-09T00:00:00.000Z,modifiedBy.99h2j@example.com
15558572-916e-4022-b8aa-a85b7fb22bb1,name-15558572,email-15558572,phone-15558572,city-15558572,039,9442730094.06,2002-04-11T00:00:00.000Z,createdBy.99h2k@example.net,2021-09-29T00:00:00.000Z,modifiedBy.99h2k@example.com
